,Exchanges,id,Cash Ratio,Current Ratio,TT Liabilities on Equity,TT Liabilities on Asset,ST Liabilities on TT Liabilities,ST Liabilities on Equity,ST Liabilities on Asset,TT Debt on TT Liabilities,TT Debt on Equity,TT Debt on Asset,ST Debt on TT Liabilities,ST Debt on ST Liabilities,ST Debt on TT Debt,ST Debt on Equity,ST Debt on Asset,ROE,ROA,Gross Profit Margin,EBITDA Margin,Operating Profit Margin,Income Aft Tax Margin,Asset Turnover Ratio,Inflation,GDP,Industry,Industry_year
39,HNX,DNC_2017,0.0784204929399694,0.951187806,1.1072681158188542,0.5254519382259935,1.0,1.1072681158188542,0.5254519382259935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26490800594324,0.1257115807687815,9.67344803,8.099402604,5.727001431,4.80648898,2.615335702,4.4,281.35,tienIch,tienIch_2017
40,HOSE,NT2_2017,0.0332613245068559,1.357725031,0.9987293431244932,0.4996821338317072,0.4587358842982172,0.458152988392792,0.2292221255313083,0.5285559138921796,0.5278843006861027,0.2641099469030123,0.0,0.0,0.0,0.0,0.0,0.1625630936485712,0.0813332201319695,20.598452327,27.9779768854,12.604181866,11.986356305,0.589358694,4.4,281.35,tienIch,tienIch_2017
41,HNX,BTW_2017,0.4935554405245843,1.278662085,0.4793351657058125,0.3240206660517765,0.8231995050160198,0.3945884711457967,0.2667336519087834,0.1768004948491511,0.0847466944953875,0.0572870140993056,0.0,0.0,0.0,0.0,0.0,0.1383238646293151,0.0935040738812686,28.560086322,8.207358032,4.702367707,4.821832648,2.071251065,4.4,281.35,tienIch,tienIch_2017
42,HOSE,CHP_2018,0.0041758636986544,1.604579089,0.6179218638669156,0.3819231803877419,0.2022476997980432,0.1249732756220032,0.0772430847329739,0.7977523001927663,0.4929485882392334,0.3046800956512579,0.0,0.0,0.0,0.0,0.0,0.0544570308908408,0.0336586284585374,43.552608355,69.889886899,21.537538445,20.40182108,0.157870041,3.6,310.11,tienIch,tienIch_2018
43,HNX,NBW_2018,0.2369039680635284,0.739011657,0.5165720332708509,0.3406181981061193,0.9889111737142876,0.5108438557298532,0.3368411420775682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0707908803481232,0.0466782182415996,29.503801371,6.603263475,2.273387861,1.795468426,2.535235755,3.6,310.11,tienIch,tienIch_2018
45,HNX,GDW_2018,0.4562880686483424,1.057220743,0.8226353173486098,0.4513438917365535,0.7305309783849242,0.6009605832366726,0.3297206948183637,0.2659447202532378,0.2187755193427095,0.1200325250258853,0.0,0.0,0.0,0.0,0.0,0.1001472575185013,0.0549464045633581,37.157928771,9.719845823,3.53101779,3.103307585,1.742754601,3.6,310.11,tienIch,tienIch_2018
47,HOSE,TDW_2018,0.1830966956341242,0.761880014,1.4876322515227045,0.5980113220392524,0.5825076892744687,0.8665572253246656,0.3483461933610551,0.446833328239763,0.6647236701447022,0.2672113893518599,0.0596353053990962,0.1023768552709988,0.1334620799975264,0.0887154036411016,0.0356625878219281,0.1029112395977338,0.0413691531502803,31.356250919,11.467918247,2.06642263,1.92130552,2.106342132,3.6,310.11,tienIch,tienIch_2018
48,HNX,PCG_2018,0.5307458602457868,4.837268719,0.2085766853813777,0.1725804311007037,0.9753361556924196,0.2034323824869403,0.1683239342175009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0402153864505741,-0.0332749977200526,6.140129259,-3.798068293,-2.510035302,-2.415117413,1.358630129,3.6,310.11,tienIch,tienIch_2018
49,HOSE,CLW_2018,0.10868997749014,0.767775355,1.0084123580242024,0.5020942805870001,0.7993456695017211,0.8060700514586653,0.4013468888688006,0.110374156765836,0.1113026636891697,0.0554182328367392,0.0,0.0,0.0,0.0,0.0,0.064317149390706,0.0320238765379728,7.012096978,5.839336302,1.496811404,1.340518773,2.221166663,3.6,310.11,tienIch,tienIch_2018
50,HOSE,CNG_2018,0.0951993513559493,2.19492075,0.5549695198445099,0.3569005776396212,0.9403833970767124,0.5218841223454123,0.3356233776193879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212746324670681,0.1368170385050085,13.005310454,9.467364136,7.617188523,6.283131372,2.324275551,3.6,310.11,tienIch,tienIch_2018
